Name	Description	pvalue	qvalue	phenotype	genes
GO:0061077	chaperone-mediated protein folding	3.23687921595822e-07	0.00158736605984734	1	CCT4,HSPE1,HSPA1B,CCT3,FKBP1A,HSPA8,CCT6A,TRAP1,CRTAP,CCT7,PPID,PTGES3,TCP1,FKBP4,CCT8,FKBP5,DNAJB1,CCT5,HSPA14,DNAJB7,PDCD5,HSPA9,FKBP11
GO:0015986	proton motive force-driven ATP synthesis	1.45505600536064e-05	0.00465442056749885	1	ATP5F1B,ATP5MC1,NDUFS5,ATP5MJ,ATP6V0C,ATP5PF,ATP6,ATP8,ND2,ND3,NDUFA3,ATP5PB,NDUFB1,SDHC,ATP5MF,NDUFC2,ATP5MK,NDUFV2,NDUFB4,ATP5PO,NDUFV1,ATP5F1E
GO:0006913	nucleocytoplasmic transport	2.4430417023791e-05	0.0060665807486647	1	PPP1R10,TP53,NPM1,NOLC1,NUP42,ABCE1,MDN1,PPP1CC,PKD1,XPO5,AKAP13,RAN,SMG7,TSC2,LSG1,AKIRIN2,KPNA4,PRICKLE1,ALKBH5,NUP188,POM121,YTHDC1,TNPO2,TMCO6,NUP98,DHX9,XPOT,MALT1,IPO5,NUP153,NDC1,KPNA2,UBE2I,XPO7,CDKN1A,MAGOHB,APOD,POLA2,NUP37,TNPO3,NUTF2,KPNA3,TRAF3IP2,CSE1L,NUP58,XPO1,DDX39B,PCID2,XPO4,SMAD3,DMAP1,RPAIN,NUP43,POLDIP3,SIRT7,HSPA9,CD36,RANBP1,IPO9
GO:0051169	nuclear transport	2.4430417023791e-05	0.0060665807486647	1	PPP1R10,TP53,NPM1,NOLC1,NUP42,ABCE1,MDN1,PPP1CC,PKD1,XPO5,AKAP13,RAN,SMG7,TSC2,LSG1,AKIRIN2,KPNA4,PRICKLE1,ALKBH5,NUP188,POM121,YTHDC1,TNPO2,TMCO6,NUP98,DHX9,XPOT,MALT1,IPO5,NUP153,NDC1,KPNA2,UBE2I,XPO7,CDKN1A,MAGOHB,APOD,POLA2,NUP37,TNPO3,NUTF2,KPNA3,TRAF3IP2,CSE1L,NUP58,XPO1,DDX39B,PCID2,XPO4,SMAD3,DMAP1,RPAIN,NUP43,POLDIP3,SIRT7,HSPA9,CD36,RANBP1,IPO9
GO:0022613	ribonucleoprotein complex biogenesis	5.62458309848057e-05	0.0107542091735801	1	SRPK3,DIMT1,LSM2,RRP1B,NPM1,GEMIN5,SF3B4,NOLC1,SF3A1,ABCE1,SF3B3,UTP4,MDN1,UTP20,CHD7,GTF3A,RPL38,YTHDF2,SNRPD2,DDX52,URB2,NOP10,STRAP,PA2G4,RAN,LSG1,SNU13,RBMX,SF3A3,TRAF7,NOP56,RUVBL1,IMP4,YTHDC1,CELF3,PTGES3,C1QBP,EIF3K,IMP3,DHX9,RNASEL,NOC4L,NOP14,PRKDC,SRSF1,CUL4A,POP7,SPATA5L1,SRSF5,WDR12,WDR36,EIF5,PRPF8,RRP9,SNRPF,ZRSR2,FCF1,SMN1,PELP1,ISG20L2,SNRPC,MRPL22,NPM3,AGO3,PRPF31,ERAL1,UTP25,XPO1,SRSF12,DDX39B,WDR77,MALSU1,NUFIP1,PRPF19,METTL25B,SIRT7,MRPL36,SNRPG
GO:0009124	nucleoside monophosphate biosynthetic process	0.000108279461426923	0.0148469483699668	1	AMPD3,UCK2,GMPS,PFAS,RFK,ADK,CAD,TYMS,HPRT1,UCK1,PAICS,SHMT1,ATIC
GO:0000387	spliceosomal snRNP assembly	0.000147889045609676	0.0188098159679162	1	LSM2,GEMIN5,SNRPD2,STRAP,PRPF8,SNRPF,SMN1,SNRPC,PRPF31,SRSF12,WDR77,PRPF19,SNRPG
GO:0006754	ATP biosynthetic process	0.000151523738545006	0.0188132481391469	1	ATP5F1B,ATP5MC1,NDUFS5,ATP5MJ,ATP6V0C,ATP5PF,ATP6,ATP8,SLC25A13,ND2,ND3,NDUFA3,ATP5PB,NDUFB1,SDHC,ATP5MF,NDUFC2,ATP5MK,FLCN,NDUFV2,NDUFB4,ATP5PO,NDUFV1,ATP5F1E
GO:0009259	ribonucleotide metabolic process	0.000156718462656842	0.0190057102570868	1	NME1,PANK4,AMPD3,ATP5F1B,GUCY1A1,ATP5MC1,HSPA1B,TIGAR,ACACB,NDUFS5,GPI,ATP5MJ,ATP6V0C,ATP5PF,UCK2,ATP6,ABCC6,NUDT5,GMPS,PNP,NUDT4B,ELOVL5,ATP8,NME2,RAN,HSPA8,SUCLG1,SLC25A13,PFAS,MCCC2,ND2,DLAT,RFK,RHOQ,ADK,ND3,CAD,NDUFA3,SULT1A4,TECR,ATP5PB,NDUFB1,PRXL2C,SDHC,ATP5MF,NDUFC2,PANK2,HPRT1,NMNAT1,ACSL1,RNASEH2B,NUDT4,UCK1,HMGCS1,PAICS,ATP5MK,ATP1B1,ENO2,MLST8,FLCN,ATIC,NDUFV2,NDUFB4,PIPOX,NUPR1,ATP5PO,FOXK2,XDH,NCOR1,NDUFV1,ATP5F1E
GO:0019693	ribose phosphate metabolic process	0.000165779222807196	0.0196476141097332	1	NME1,PANK4,AMPD3,ATP5F1B,GUCY1A1,ATP5MC1,HSPA1B,TIGAR,ACACB,NDUFS5,GPI,ATP5MJ,ATP6V0C,ATP5PF,UCK2,ATP6,ABCC6,NUDT5,GMPS,PNP,NUDT4B,ELOVL5,ATP8,NME2,RAN,HSPA8,SUCLG1,SLC25A13,PFAS,MCCC2,ND2,DLAT,RFK,RHOQ,ADK,ND3,CAD,NDUFA3,SULT1A4,TECR,ATP5PB,NDUFB1,PRXL2C,SDHC,ATP5MF,NDUFC2,PANK2,HPRT1,NMNAT1,ACSL1,RNASEH2B,NUDT4,UCK1,HMGCS1,PAICS,ATP5MK,ATP1B1,ENO2,MLST8,FLCN,ATIC,NDUFV2,NDUFB4,PIPOX,NUPR1,ATP5PO,FOXK2,RPIA,XDH,NCOR1,NDUFV1,ATP5F1E
