;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;symbol
ENSG00000134323;4967,48;2,43;0,18;13,14;0,00;0,00;MYCN
ENSG00000205670;534,94;3,44;0,37;9,25;0,00;0,00;SMIM11
ENSG00000273590;108,94;-4,59;0,54;-8,43;0,00;0,00;LOC102723553
ENSG00000231945;80,68;-10,80;1,53;-7,05;0,00;0,00;VARS1
ENSG00000230995;594,19;23,15;3,47;6,67;0,00;0,00;PPP1R10
ENSG00000278220;290,83;-25,18;4,78;-5,26;0,00;0,00;CLN8
ENSG00000205746;3610,29;-1,00;0,19;-5,23;0,00;0,00;PKD1P4
ENSG00000256043;23,41;-9,01;1,75;-5,14;0,00;0,00;CTSO
ENSG00000261279;40,30;-9,02;1,75;-5,14;0,00;0,00;ULK4P1
ENSG00000233348;341,32;-24,54;4,78;-5,13;0,00;0,00;BAG6
ENSG00000205534;1282,73;-1,52;0,30;-5,09;0,00;0,00;NA
ENSG00000281289;146,36;-1,67;0,33;-5,05;0,00;0,00;LSS
ENSG00000179886;239,88;-23,58;4,79;-4,93;0,00;0,00;TIGD5
ENSG00000179915;355,36;1,76;0,36;4,91;0,00;0,00;NRXN1
ENSG00000276203;335,76;-1,47;0,31;-4,70;0,00;0,00;ANKRD20A3P
ENSG00000183833;317,82;-1,11;0,24;-4,61;0,00;0,00;CFAP91
ENSG00000257635;25,47;-7,46;1,66;-4,49;0,00;0,01;NA
ENSG00000174792;132,56;-2,45;0,61;-4,01;0,00;0,04;ODAPH
ENSG00000128573;35,79;-2,45;0,62;-3,92;0,00;0,05;FOXP2
ENSG00000183246;19,81;6,48;1,66;3,89;0,00;0,05;RIMBP3C
ENSG00000241370;23,78;-8,30;2,14;-3,88;0,00;0,05;RPP21
